bs,bw,dim,gpus,seqlen,method,mem,time,tflops,toks,params,std
1,low,7b,8,4096,tp+flash,17.26,2.523,9.55,1672.23,6.74,0.08
1,low,7b,8,4096,tp+sp+flash,8.36,2.1358,10.97,1921.49,6.74,0.27
1,low,7b,8,4096,burst+flash,34.62,1.8914,12.59,2205.23,6.74,0.18
1,low,7b,8,4096,burst+flash+zero,13.15,6.3707,3.67,642.94,6.74,0.07
1,low,7b,8,4096,ring,38.59,1.7118,13.67,2394.24,6.74,0.02
1,low,7b,8,8192,tp+flash,29.6,3.4883,15.3,2348.43,6.74,0.17
1,low,7b,8,8192,tp+sp+flash,11.77,3.4052,15.72,2412.33,6.74,0.08
1,low,7b,8,8192,burst+flash,38.3,3.4674,15.4,2362.58,6.74,0.13
1,low,7b,8,8192,burst+flash+zero,16.33,7.58,7.05,1082.23,6.74,0.15
1,low,7b,8,8192,ring,54.18,3.1535,17.23,2643.5,6.74,0.02
1,low,7b,8,16384,tp+flash,54.21,6.0048,22.19,2730.21,6.74,0.17
1,low,7b,8,16384,tp+sp+flash,18.52,6.8304,19.5,2400.02,6.74,0.1
1,low,7b,8,16384,burst+flash,45.57,6.1542,21.64,2662.23,6.74,0.2
1,low,7b,8,16384,burst+flash+zero,23.61,9.7345,13.68,1683.41,6.74,0.2
1,low,7b,8,16384,ring,NaN,NaN,NaN,NaN,NaN,NaN
1,low,7b,8,32768,tp+flash,NaN,NaN,NaN,NaN,NaN,NaN
1,low,7b,8,32768,tp+sp+flash,32.12,15.2468,24.44,2153.35,6.74,0.11
1,low,7b,8,32768,burst+flash,60.06,11.2787,32.97,2905.3,6.74,0.35
1,low,7b,8,32768,burst+flash+zero,38.1,15.2973,24.34,2145.22,6.74,0.25
1,low,7b,8,32768,ring,NaN,NaN,NaN,NaN,NaN,NaN
