bw,dim,gpus,seqlen,method,mem,time,tflops,toks,params,std
low,7b,8,1024,tp+flash,7.33,1.3583,3.93,769.5,6.74,0.06
low,7b,8,1024,tp+sp,5.45,1.2658,4.19,820.22,6.74,0.08
low,7b,8,1024,tp,7.65,1.3239,3.95,773.46,6.74,0.05
low,7b,8,1024,tp+sp+flash,5.13,1.2742,4.13,808.56,6.74,0.05
low,7b,8,1024,burst,26.72,1.0706,4.96,970.52,6.74,0.07
low,7b,8,1024,burst+flash,26.69,0.9418,5.57,1091.26,6.74,0.03
low,7b,8,1024,burst+flash+zero,5.65,5.5156,0.95,185.66,6.74,0.01
low,7b,8,1024,ring,26.94,1.2028,4.41,862.7,6.74,0.11
low,7b,8,2048,tp+flash,10.42,1.6878,6.49,1223.03,6.74,0.05
low,7b,8,2048,tp+sp,7.08,1.2592,8.66,1631.98,6.74,0.03
low,7b,8,2048,tp,11.53,1.7143,6.41,1207.17,6.74,0.04
low,7b,8,2048,tp+sp+flash,5.99,1.2609,8.62,1624.6,6.74,0.03
low,7b,8,2048,burst,27.6,0.7866,13.93,2624.51,6.74,0.02
low,7b,8,2048,burst+flash,27.55,0.7417,14.73,2774.07,6.74,0.03
low,7b,8,2048,burst+flash+zero,6.42,5.6773,1.92,360.81,6.74,0.01
low,7b,8,2048,ring,28.54,0.9229,11.81,2225.64,6.74,0.02
low,7b,8,4096,tp+flash,16.56,2.3245,10.15,1776.47,6.74,0.05
low,7b,8,4096,tp+sp,11.87,2.0789,11.25,1970.31,6.74,0.0
low,7b,8,4096,tp,20.78,2.3224,10.09,1766.78,6.74,0.02
low,7b,8,4096,tp+sp+flash,7.64,2.1046,11.12,1946.77,6.74,0.0
low,7b,8,4096,burst,29.32,1.529,15.34,2685.98,6.74,0.05
low,7b,8,4096,burst+flash,29.23,1.5794,14.92,2613.2,6.74,0.06
low,7b,8,4096,burst+flash+zero,7.93,6.2081,3.77,660.25,6.74,0.02
low,7b,8,4096,ring,33.2,1.457,16.16,2829.64,6.74,0.01
low,7b,8,8192,tp+flash,28.9,3.6424,14.72,2259.66,6.74,0.06
low,7b,8,8192,tp+sp,27.82,4.1328,12.92,1983.03,6.74,0.01
low,7b,8,8192,tp,45.33,3.4744,15.39,2361.82,6.74,0.02
low,7b,8,8192,tp+sp+flash,11.09,4.2002,12.71,1950.38,6.74,0.02
low,7b,8,8192,burst,33.05,2.2839,23.38,3587.67,6.74,0.01
low,7b,8,8192,burst+flash,32.93,2.9682,17.99,2761.29,6.74,0.06
low,7b,8,8192,burst+flash+zero,11.02,7.3021,7.31,1122.16,6.74,0.01
low,7b,8,8192,ring,48.97,2.917,18.3,2808.87,6.74,0.01
low,7b,8,16384,tp+flash,53.54,7.0863,18.82,2315.65,6.74,0.02
low,7b,8,16384,tp+sp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,tp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,tp+sp+flash,17.87,8.6058,15.47,1903.83,6.74,0.04
low,7b,8,16384,burst,40.51,4.4283,30.09,3702.87,6.74,0.01
low,7b,8,16384,burst+flash,40.26,5.2844,25.25,3107.08,6.74,0.05
low,7b,8,16384,burst+flash+zero,18.29,9.1865,14.49,1783.48,6.74,0.01
low,7b,8,16384,ring,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+flash,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+sp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+sp+flash,31.43,18.1341,20.51,1807.02,6.74,0.04
low,7b,8,32768,burst,55.91,9.8484,37.78,3328.84,6.74,0.01
low,7b,8,32768,burst+flash,54.69,9.991,37.32,3289.04,6.74,0.01
low,7b,8,32768,burst+flash+zero,32.72,14.1033,26.37,2323.51,6.74,0.02
low,7b,8,32768,ring,NaN,NaN,NaN,NaN,NaN,NaN
