bw,dim,gpus,seqlen,method,mem,time,tflops,toks,params,std
low,7b,8,1024,tp,5.45,1.5306,3.46,676.93,6.74,0.08
low,7b,8,1024,tp+flash,5.12,1.5949,3.28,642.06,6.74,0.07
low,7b,8,1024,ring,26.94,1.5611,3.35,656.78,6.74,0.13
low,7b,8,1024,burst,26.72,1.4617,3.61,707.3,6.74,0.09
low,7b,8,1024,burst+flash,26.69,1.3526,3.9,763.38,6.74,0.19
low,7b,8,2048,tp,7.08,1.3914,7.9,1488.93,6.74,0.05
low,7b,8,2048,tp+flash,5.97,1.3484,8.07,1520.69,6.74,0.14
low,7b,8,2048,ring,28.54,1.0636,10.3,1941.17,6.74,0.05
low,7b,8,2048,burst,27.6,0.9188,12.13,2286.05,6.74,0.09
low,7b,8,2048,burst+flash,27.55,0.8622,12.64,2381.72,6.74,0.05
low,7b,8,4096,tp,11.87,2.1213,11.03,1930.85,6.74,0.03
low,7b,8,4096,tp+flash,7.64,2.2538,10.39,1820.05,6.74,0.09
low,7b,8,4096,ring,33.2,1.5708,14.89,2607.51,6.74,0.05
low,7b,8,4096,burst,29.32,1.8746,12.53,2194.28,6.74,0.08
low,7b,8,4096,burst+flash,29.23,1.9323,12.23,2141.69,6.74,0.05
low,7b,8,8192,tp,27.83,4.1547,12.85,1972.06,6.74,0.05
low,7b,8,8192,tp+flash,11.08,4.2175,12.66,1942.39,6.74,0.09
low,7b,8,8192,ring,48.97,3.0313,17.62,2704.74,6.74,0.08
low,7b,8,8192,burst,33.05,2.4519,21.83,3350.09,6.74,0.11
low,7b,8,8192,burst+flash,32.93,3.6597,14.67,2251.21,6.74,0.19
low,7b,8,16384,tp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,tp+flash,17.87,8.519,15.63,1923.24,6.74,0.06
low,7b,8,16384,ring,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,burst,40.51,4.5411,29.33,3608.92,6.74,0.13
low,7b,8,16384,burst+flash,40.26,6.4661,20.7,2546.79,6.74,0.33
low,7b,8,32768,tp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+flash,31.43,18.1691,20.47,1804.24,6.74,0.03
low,7b,8,32768,ring,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,burst,55.91,10.0152,37.15,3273.63,6.74,0.09
low,7b,8,32768,burst+flash,54.69,10.9322,34.01,2997.39,6.74,0.19
low,7b,8,1024,burst+flash+zero,5.65,5.6395,0.93,181.91,6.74,0.05
low,7b,8,2048,burst+flash+zero,6.42,5.7429,1.89,356.76,6.74,0.11
low,7b,8,4096,burst+flash+zero,7.93,6.2618,3.74,654.64,6.74,0.08
low,7b,8,8192,burst+flash+zero,11.02,7.7103,6.94,1065.23,6.74,0.12
low,7b,8,16384,burst+flash+zero,18.29,9.8785,13.51,1662.56,6.74,0.18
low,7b,8,32768,burst+flash+zero,32.72,14.5441,25.63,2258.77,6.74,0.2
