Method,Seqlen(k),Nodes,Throughput(TFLOPS/s),Tokens/s,sp=2,sp=4,sp=8,Max
burst,64,1,125.91097410949742,1348.51,1494.67,1411.47,1211.97,1494.67
megatron-cp,64,1,130.02207465012464,1392.54,OOM,1394.6,1252.57,1394.6
ds-ulysses,64,1,107.1457562522844,1147.534,1315.381,1323.848,1252.173,1323.848
loong-train-cp,64,1,116.29661974500999,1245.54,1479.2,1403.81,1258.73,1479.2
burst,128,1,128.83734902436,881.56,960.09,932.5,877.75,960.09
megatron-cp,128,1,,,OOM,865.7,813.6,865.7
ds-ulysses,128,1,115.53504911488449,790.54,881.593,844.513,830.434,881.593
loong-train-cp,128,1,126.88190216884716,868.18,952.35,927.03,876.48,952.35
burst,256,1,133.97997171014367,532.3,OOM,553.18,535.26,553.18
megatron-cp,256,1,,,OOM,OOM,OOM,0.0
ds-ulysses,256,1,115.02745638076104,457.002,OOM,510.536,480.735,510.536
loong-train-cp,256,1,135.52037641964225,538.42,OOM,548.38,531.76,548.38
burst,512,1,,,OOM,OOM,298.95,298.95
megatron-tp,64,1,,,1480.7,1378.8,1310.4,1480.7
megatron-tp,128,j,,,OOM,845.9,746.9,845.9
megatron-tp,256,1,,,OOM,505.9,430.4,505.9
megatron-tp,512,1,,,OOM,OOM,249.6,249.6
megatron-cp,512,1,,,OOM,OOM,OOM,0.0
loong-train-cp,512,1,249.18419414005578,538.42,OOM,OOM,OOM,0.0
ds-ulysses,512,1,211.50342686080344,457.002,OOM,OOM,275.963,275.963
